“lng”,”lat”
"-111.897100","33.517600"
"-111.897100","33.517600"
"-111.897100","33.517600"
"-111.897100","33.517600"
"-111.897100","33.517600"
"-111.897100","33.517600"
"-111.897100","33.517600"
"-111.897100","33.517600"
"-111.897100","33.517600"
"-111.897100","33.517600"
"-111.897100","33.517600"
"-111.897100","33.517600"
"-111.897100","33.517600"
"-111.897100","33.517600"
"-111.897100","33.517600"
"-111.897100","33.517600"
"-111.897100","33.517600"
"-111.897100","33.517600"
"-111.897100","33.517600"
"-111.897100","33.517600"
"-111.897100","33.517600"
"-111.897100","33.517600"
"-111.897100","33.517600"
"-111.897100","33.517600"
"-111.897100","33.517600"
