lng,lat
26.170352,-98.051950
26.190096,-80.365865
26.190096,-80.365865
26.190631,-97.696103
26.190631,-97.696103
26.194796,-98.183622
26.194796,-98.183622
26.194796,-98.183622
26.203407,-98.230012
26.203407,-98.230012
26.203407,-98.230012
26.203407,-98.230012
26.203407,-98.230012
26.203407,-98.230012
26.203407,-98.230012
26.203407,-98.230012
26.203407,-98.230012
26.215907,-98.325293
26.215907,-98.325293
26.215907,-98.325293
26.215907,-98.325293
26.215907,-98.325293
26.215907,-98.325293
26.215907,-98.325293
26.215907,-98.325293
26.368306,-80.128932
26.368306,-80.128932
26.368306,-80.128932
26.715342,-80.053375
26.715342,-80.053375
26.715342,-80.053375
26.715342,-80.053375
26.715342,-80.053375
26.976171,-82.090645
27.336435,-82.530653
27.515869,-97.856109
27.816415,-80.470608
27.950575,-82.457178
27.950575,-82.457178
27.950575,-82.457178
27.950575,-82.457178
28.538335,-81.379237
28.538335,-81.379237
28.538335,-81.379237
28.538335,-81.379237
28.538335,-81.379237
28.538335,-81.379237
28.538335,-81.379237
28.635308,77.224960
28.635308,77.224960
28.698885,-81.308123
29.033857,-95.434386
29.033857,-95.434386
29.233294,-98.796414
29.369722,47.978333
29.424122,-98.493628
29.424122,-98.493628
29.424122,-98.493628
29.424122,-98.493628
29.424122,-98.493628
29.424122,-98.493628
29.424122,-98.493628
29.424122,-98.493628
29.424122,-98.493628
29.424122,-98.493628
29.424122,-98.493628
29.424122,-98.493628
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.518008,-98.316124
29.619679,-95.634946
29.619679,-95.634946
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
29.760193,-95.369390
